iter	Passed	Remaining
915	10172	932
916	10177	921
917	10192	910
918	10205	899
919	10213	888
920	10226	877
921	10236	865
922	10254	855
923	10272	844
924	10275	833
925	10287	822
926	10292	810
927	10295	798
928	10301	787
929	10321	776
930	10337	766
931	10354	755
932	10361	744
933	10366	732
934	10379	721
935	10384	710
936	10390	698
937	10395	687
938	10401	675
939	10415	664
940	10421	653
941	10435	642
942	10441	631
943	10455	620
944	10468	609
945	10472	597
946	10479	586
947	10492	575
948	10506	564
949	10512	553
950	10515	541
951	10526	530
952	10536	519
953	10541	508
954	10555	497
955	10560	486
956	10573	475
957	10588	464
958	10603	453
959	10618	442
960	10633	431
961	10641	420
962	10652	409
963	10667	398
964	10683	387
965	10699	376
966	10705	365
967	10713	354
968	10728	343
969	10742	332
970	10747	320
971	10759	309
972	10774	298
973	10779	287
974	10791	276
975	10805	265
976	10813	254
977	10826	243
978	10838	232
979	10852	221
980	10860	210
981	10874	199
982	10879	188
983	10885	177
984	10893	165
985	10900	154
986	10910	143
987	10945	132
988	10955	121
989	10970	110
990	10985	99
991	11001	88
992	11017	77
993	11026	66
994	11034	55
995	11044	44
996	11058	33
997	11075	22
998	11080	11
999	11087	0
